cell_id,cathode_loading_density,cathode_porosity,cathode_AM_thickness,anode_loading_density,anode_porosity,anode_AM_thickness,calculated_NP_ratio,specific_capacity_0.1C,specific_capacity_0.2C,specific_capacity_0.5C,specific_capacity_1C,specific_capacity_2C,specific_capacity_3C,specific_capacity_5C,5C
206,15.66,24.64,49,10.39,34.39,70,1.18,180.18,160.71,136.62,116.27,83.29,58.93,36.89,
207,15.41,25.87,49,10.33,34.8,70,1.19,175.8,158.11,144.06,120.82,89.51,62.62,37.03,
208,15.79,19.08,46,9.87,30.19,62.5,1.11,143.26,137.09,110.04,84.41,51.63,33.74,15.77,
209,15.53,20.03,45.8,10.26,26.85,62,1.17,107.81,111.88,92.02,63.23,37.21,23.68,11.01,
210,15.92,18.6,46.1,10.33,25.43,61.2,1.15,102.84,103.1,72.91,43.85,22.27,12.04,4.82,
211,15.53,18.97,45.2,10.26,26.26,61.5,1.17,126.26,130.66,106.7,84.41,40.18,19.74,8.37,
212,15.92,19.3,46.5,10.26,25.53,60.9,1.15,117.63,124.25,91.92,55.46,37.15,26.4,11.78,
213,15.79,18.37,45.6,10.26,26.97,62.1,1.15,151.34,146.57,118.21,92.8,57.07,37.99,19.17,
214,15.66,19.2,45.7,10.26,26.01,61.3,1.16,111.28,111.8,87.15,44.67,23.6,16.08,6.99,
215,15.53,19.51,45.5,10.46,25.46,62,1.19,118.59,120.09,90.13,52.33,28.99,19.56,8.81,
216,15.79,19.77,46.4,10.52,27.11,63.8,1.18,146.49,137.12,113.18,80.31,48.48,31.31,13.88,
217,15.41,19.64,45.2,10.46,26.18,62.6,1.2,152.71,146.58,122.13,95.02,58.93,38.67,18.4,
218,15.53,19.51,45.5,10.33,25.79,61.5,1.18,128.72,115.51,86.96,56.65,31.19,17.89,6.78,
219,15.66,19.2,45.7,10.39,25.68,61.8,1.18,147.81,145.28,122.2,87.59,55.68,36.36,15.65,
220,15.66,19.02,45.6,10.39,25.8,61.9,1.18,156.82,152.54,126.14,106.82,66.61,42.22,18.36,
221,15.66,19.2,45.7,10.39,25.2,61.4,1.18,144.76,145.19,123.16,103.41,70.1,42.48,18.62,
222,15.53,19.86,45.7,10.46,26.06,62.5,1.19,125.64,104.49,73.92,39.03,20.18,10.84,3.96,
223,15.02,21.45,45.1,10.39,26.4,62.4,1.23,100.64,100.91,80.31,46.67,26.8,17.14,6.93,
224,15.02,20.93,44.8,9.81,29.98,61.9,1.16,123.88,106.02,80.22,48.22,27.71,18.32,8.02,
225,15.28,20.12,45.1,9.87,29.06,61.5,1.14,145.88,148.3,128.41,113.35,71.42,44.89,19.89,
226,15.15,19.54,44.4,9.87,29.74,62.1,1.15,141.01,130.89,105.15,71.64,37.04,22.13,8.85,
227,15.28,24.79,47.9,9.94,40.25,73.5,1.15,163.35,154.93,131.63,103.67,67.2,42.56,20.79,
228,15.66,22.91,47.9,9.94,38.66,71.6,1.12,158.3,151.22,129.11,113.46,72.55,41.08,15.65,
229,15.66,22.1,47.4,10,40.9,74.8,1.13,163.81,152.45,126.4,99.39,67.31,45.37,24.48,
230,15.92,21.5,47.8,10.07,39.63,73.7,1.12,155.55,146.09,113.76,83.75,55.2,39.12,21.84,
231,15.79,21.3,47.3,9.87,35.93,68.1,1.11,152.3,144.23,117.26,90.72,55.25,38.42,21.68,
232,15.66,23.07,48,9.94,35.89,68.5,1.12,150.61,139.95,110.14,81.47,53.76,38.72,21.33,
233,15.92,21.98,48.1,10.07,37.77,71.5,1.12,155.98,147.81,118.83,99.31,75.75,55.37,33.88,
234,15.53,20.9,46.3,10.13,40.14,74.8,1.16,127.22,132.42,102.38,69.34,44.41,30.66,15.33,
235,15.28,25.11,48.1,10,37.12,70.3,1.16,162.37,157.08,144.98,136.56,104.03,68.1,32.71,
236,15.79,21.63,47.5,10.13,40.22,74.9,1.14,172.51,167.91,157.85,143.8,87.51,45.71,19.17,
237,15.66,23.39,48.2,10.07,37.6,71.3,1.14,167.74,162.94,158.57,148.43,99.65,52.8,21.07,
