cell_id,cathode_loading_density,cathode_porosity,cathode_AM_thickness,anode_loading_density,anode_porosity,anode_AM_thickness,specific_capacity_0.1C,specific_capacity_0.2C,specific_capacity_0.5C,specific_capacity_1C,specific_capacity_2C,specific_capacity_3C,specific_capacity_5C
3.2-8,15.5335,20.0333,45.8,10.2639,0.2685,62,107.8057,111.8821,92.0208,63.2264,37.2073,23.6774,11.0147
3.2-10,15.9155,18.6001,46.1,10.3288,0.2543,61.2,102.8375,103.0954,72.9149,43.8521,22.27,12.0378,4.8151
3.2-11,15.5335,18.9718,45.2,10.2639,0.2626,61.5,126.2555,130.6608,106.696,84.4053,40.1762,19.7357,8.37
3.2-12,15.9155,19.3003,46.5,10.2639,0.2553,60.9,117.6268,124.2476,91.9175,55.46,37.1453,26.3973,11.7799
3.2-13,15.7882,18.3658,45.6,10.2639,0.2697,62.1,151.3443,146.5742,118.2134,92.8014,57.0685,37.9879,19.1674
3.2-14,15.6609,19.2014,45.7,10.2639,0.2601,61.3,111.2762,111.8007,87.1504,44.6678,23.6014,16.0839,6.993
3.2-15,15.5335,19.506,45.5,10.4588,0.2546,62,118.5903,120.0881,90.1322,52.3348,28.9868,19.5595,8.8106
3.2-16,15.7882,19.7733,46.4,10.5237,0.2711,63.8,146.4874,137.1206,113.183,80.3122,48.4822,31.3096,13.8768
3.2-17,15.4062,19.6359,45.2,10.4588,0.2618,62.6,152.7111,146.5778,122.1333,95.0222,58.9333,38.6667,18.4
3.2-18,15.5335,19.506,45.5,10.3288,0.2579,61.5,128.7225,115.5066,86.9604,56.652,31.1894,17.8855,6.7841
3.2-19,15.6609,19.2014,45.7,10.3938,0.2568,61.8,147.8147,145.2797,122.2028,87.5874,55.6818,36.3636,15.6469
3.2-20,15.6609,19.0242,45.6,10.3938,0.258,61.9,156.8182,152.535,126.1364,106.8182,66.6084,42.2203,18.3566
3.2-21,15.6609,19.2014,45.7,10.3938,0.252,61.4,144.7552,145.1923,123.1643,103.4091,70.1049,42.4825,18.6189
3.2-22,15.5335,19.8583,45.7,10.4588,0.2606,62.5,125.6388,104.4934,73.9207,39.0308,20.1762,10.837,3.9648
3.2-23,15.0242,21.4546,45.1,10.3938,0.264,62.4,100.6381,100.9116,80.3099,46.6727,26.8004,17.1377,6.928
3.2-24,15.0242,20.9287,44.8,9.8091,0.2998,61.9,123.8833,106.0164,80.2188,48.2224,27.7119,18.3227,8.0219
3.2-25,15.2789,20.1234,45.1,9.8741,0.2906,61.5,145.8781,148.2975,128.405,113.3513,71.4158,44.8925,19.8925
3.2-26,15.1516,19.5402,44.4,9.8741,0.2974,62.1,141.0117,130.8943,105.1491,71.6351,37.037,22.1319,8.8528
3.3-7,15.2789,24.7926,47.9,9.9391,0.4025,73.5,163.3513,154.9283,131.6308,103.6738,67.2043,42.5627,20.7885
